、	10671	1
：	9835	2
肝	8806	3
无	7881	4
术	6935	5
手术	5977	6
中	5753	7
麻醉	5143	8
韧带	3651	9
肿瘤	3568	10
肝门	3348	11
及	3045	12
断面	2802	13
切断	2746	14
-	2701	15
胆囊	2600	16
切除	2538	17
腹腔	2520	18
cm	2374	19
组织	2309	20
出血	2247	21
诊断	2201	22
于	2083	23
段	2039	24
缝扎	1904	25
经过	1901	26
后	1882	27
阻断	1836	28
检查	1829	29
位于	1826	30
下	1819	31
+	1776	32
淋巴结	1749	33
分离	1742	34
肿大	1682	35
逐层	1674	36
门静脉	1655	37
×	1647	38
肝右叶	1569	39
结扎	1538	40
切线	1523	41
右侧	1395	42
完整	1374	43
硬化	1364	44
腹水	1332	45
左	1330	46
切除术	1313	47
肝癌	1307	48
主干	1299	49
包膜	1276	50
右	1268	51
静脉	1266	52
探查	1254	53
的	1225	54
上	1211	55
沿	1202	56
约	1187	57
胃	1164	58
大小	1138	59
*	1136	60
一枚	1125	61
输血	1123	62
动脉	1119	63
等	1109	64
切口	1103	65
医师	1093	66
顺利	1090	67
结节	1086	68
前	1070	69
管	1067	70
部分	1054	71
常规	1039	72
送	1034	73
消毒	1030	74
异常	1004	75
病理	1002	76
方法	1000	77
姓名	1000	78
名称	998	79
日期	998	80
铺巾	989	81
脏器	980	82
盆腔	975	83
膈	963	84
连续	957	85
病人	947	86
患者	946	87
处理	945	88
者	943	89
腹壁	943	90
成功	943	91
助手	936	92
引流	935	93
胰	935	94
肠	935	95
1	932	96
安返	926	97
将	924	98
术野	924	99
栓子	913	100
病房	913	101
皮肤	907	102
放置	905	103
包括	904	104
情况	904	105
出现	902	106
冲洗	899	107
器械	899	108
粘连	896	109
血管	896	110
全身	895	111
硬膜外	893	112
叶	886	113
脾及	877	114
切开	862	115
引出	859	116
进腹	856	117
直径约	853	118
未	847	119
活动性	841	120
扎	833	121
敷料	828	122
肝脏	827	123
原发性	825	124
三角	824	125
少	816	126
管道	815	127
直至	802	128
完整无缺	799	129
2	796	130
清理	796	131
肋缘	794	132
枚	793	133
0.5	783	134
2014	778	135
所遇	767	136
拉钩	764	137
2cm	764	138
深入	761	139
逐渐	760	140
均予	758	141
标记	758	142
关腹术终	756	143
必要	754	144
一切	754	145
无胆漏	750	146
出血点	745	147
预	737	148
肝硬化	736	149
术后	735	150
另口	722	151
十二指肠	713	152
时缝	705	153
见	701	154
电刀	700	155
乳胶	689	156
镰状	686	157
弧形	685	158
未见	670	159
界清	656	160
钳法	646	161
栓	636	162
断端	634	163
VI	631	164
3	630	165
单	605	166
4	587	167
肝圆	584	168
；	580	169
＋	578	170
冠状	573	171
V	565	172
无癌	557	173
线	545	174
VII	543	175
教授	530	176
与	528	177
两侧	521	178
明显	507	179
涂抹	506	180
牵引	505	181
胆总管	503	182
?	501	183
置入	498	184
1.5	498	185
位	494	186
生物	492	187
下腔	486	188
分别	485	189
分钟	484	190
边界	482	191
5	476	192
胶水	463	193
1cm	454	194
解剖	453	195
内	451	196
左右	444	197
0.3	444	198
距	443	199
VIII	441	200
游离	436	201
止血	435	202
囊肿	434	203
平卧	433	204
抬高	430	205
分支	430	206
处	424	207
上方	419	208
吻合	418	209
肝右	407	210
肿块	401	211
直径	401	212
3cm	399	213
左外	394	214
为	386	215
灶	383	216
超声	383	217
周围	382	218
肝段	371	219
6	369	220
转移	368	221
度	368	222
和	367	223
特殊	364	224
次	362	225
45	361	226
门脉	357	227
左叶	354	228
纱布	352	229
外叶	345	230
占位	345	231
清	345	232
轻度	333	233
有	330	234
决定	328	235
中度	328	236
至	327	237
